system:index,AREA_TOTAL,ASPECT_mean,ASPECT_p10,ASPECT_p50,ASPECT_p90,ASPECT_stdDev,DEM_mean,DEM_p10,DEM_p50,DEM_p90,DEM_stdDev,DESC_TALHA,EVI_SEASON_MEDIAN_mean,EVI_SEASON_MEDIAN_p10,EVI_SEASON_MEDIAN_p50,EVI_SEASON_MEDIAN_p90,EVI_SEASON_MEDIAN_stdDev,FAZENDA,HILLSHADE_mean,HILLSHADE_p10,HILLSHADE_p50,HILLSHADE_p90,HILLSHADE_stdDev,NDRE_SEASON_MEDIAN_mean,NDRE_SEASON_MEDIAN_p10,NDRE_SEASON_MEDIAN_p50,NDRE_SEASON_MEDIAN_p90,NDRE_SEASON_MEDIAN_stdDev,NDVI_DIFF_JAN_MAR_mean,NDVI_DIFF_JAN_MAR_p10,NDVI_DIFF_JAN_MAR_p50,NDVI_DIFF_JAN_MAR_p90,NDVI_DIFF_JAN_MAR_stdDev,NDVI_FEB_mean,NDVI_FEB_p10,NDVI_FEB_p50,NDVI_FEB_p90,NDVI_FEB_stdDev,NDVI_JAN_mean,NDVI_JAN_p10,NDVI_JAN_p50,NDVI_JAN_p90,NDVI_JAN_stdDev,NDVI_LATEST_mean,NDVI_LATEST_p10,NDVI_LATEST_p50,NDVI_LATEST_p90,NDVI_LATEST_stdDev,NDVI_MAR_mean,NDVI_MAR_p10,NDVI_MAR_p50,NDVI_MAR_p90,NDVI_MAR_stdDev,NDVI_SEASON_MEDIAN_mean,NDVI_SEASON_MEDIAN_p10,NDVI_SEASON_MEDIAN_p50,NDVI_SEASON_MEDIAN_p90,NDVI_SEASON_MEDIAN_stdDev,NDWI_SEASON_MEDIAN_mean,NDWI_SEASON_MEDIAN_p10,NDWI_SEASON_MEDIAN_p50,NDWI_SEASON_MEDIAN_p90,NDWI_SEASON_MEDIAN_stdDev,NOME_FAZ,RAIN_P95_MM_mean,RAIN_P95_MM_p10,RAIN_P95_MM_p50,RAIN_P95_MM_p90,RAIN_P95_MM_stdDev,RAIN_SUM_MM_mean,RAIN_SUM_MM_p10,RAIN_SUM_MM_p50,RAIN_SUM_MM_p90,RAIN_SUM_MM_stdDev,SLOPE_mean,SLOPE_p10,SLOPE_p50,SLOPE_p90,SLOPE_stdDev,STRESS_INDEX_mean,STRESS_INDEX_p10,STRESS_INDEX_p50,STRESS_INDEX_p90,STRESS_INDEX_stdDev,TALHAO,TEMP_MAX_C_mean,TEMP_MAX_C_p10,TEMP_MAX_C_p50,TEMP_MAX_C_p90,TEMP_MAX_C_stdDev,TEMP_MEAN_C_mean,TEMP_MEAN_C_p10,TEMP_MEAN_C_p50,TEMP_MEAN_C_p90,TEMP_MEAN_C_stdDev,TPI_90m_mean,TPI_90m_p10,TPI_90m_p50,TPI_90m_p90,TPI_90m_stdDev,.geo
0,76.82,,,,,,761.277823315186,750.7545166015626,762.6625366210938,770.222900390625,7.955154246070465,D1,0.2930287954713724,0.20484210106003858,0.28003683309976213,0.392111117649196,0.0758777779379276,3,,,,,,0.2793326004209795,0.2296608079307276,0.27094849571585655,0.33894550310422294,0.053715293513472234,-0.2598390658892586,-0.39215458432833356,-0.26402254899342853,-0.12774033950907843,0.12513691235780694,0.57952683247037,0.41988552410583024,0.5803636113251462,0.7325951787578866,0.12148996074861305,0.49372269815928854,0.3420982609680453,0.4863329739986119,0.6578723192214966,0.12620157845255872,0.13548780130327318,0.10761075182599453,0.1270254190354405,0.15411342583362506,0.06398989460635629,0.23388363227002978,0.17277220884958902,0.22924903023984017,0.2973081171512604,0.057144255133707536,0.4198520644658393,0.30242387056350706,0.41284229755401614,0.5413825411992136,0.09533819421181636,-0.537426683957524,-0.5965601607533917,-0.532501787435813,-0.48326091152998424,0.04618627130701321,SAN JORGE,44.61003875732422,44.61003875732422,44.61003875732422,44.61003875732422,0.0,425.68057107238565,425.68057107238565,425.68057107238565,425.68057107238565,0.0,,,,,,-0.3656237935582978,-0.4161127571585424,-0.3731209456006373,-0.32944909589631216,0.1414984812539579,41,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.18686680434172695,-4.9456726705306036,1.3059007862766152,2.9404735491542744,3.5565575833055543,"{""type"":""MultiPolygon"",""coordinates"":[[[[-53.173882,-18.738900000000005],[-53.173828,-18.738931],[-53.173828,-18.738127999999996],[-53.17390900000001,-18.738824],[-53.173882,-18.738900000000005]]],[[[-53.173828,-18.730853],[-53.173828,-18.729502000000004],[-53.176977,-18.729502000000004],[-53.177025,-18.729974000000002],[-53.177015,-18.730137000000003],[-53.176966,-18.730253999999995],[-53.176859,-18.730396],[-53.176795,-18.730452],[-53.17670900000001,-18.730488],[-53.176531999999995,-18.730518],[-53.176328,-18.730579],[-53.175212,-18.730985],[-53.175105,-18.731011],[-53.174568,-18.731031000000005],[-53.174263,-18.731005999999997],[-53.173828,-18.730853]]]]}"
1,103.15,,,,,,738.6680105859218,730.525634765625,738.7111575786882,746.49951171875,5.899177143948222,F1,0.8443174321948341,0.782754154296188,0.8532781443833624,0.9121540495309876,0.09691835029075523,3,,,,,,0.6468554423399708,0.5498143567016384,0.649330788276244,0.7337907330268825,0.07871876894301358,-0.5224120082597485,-0.5678801026458511,-0.5255056859837491,-0.4712317566886844,0.07428888134056007,0.8697118630257751,0.8496560900645312,0.880716220627386,0.8963348917858298,0.06394990654863868,0.8943906496081814,0.8651879161935536,0.9004520710715997,0.9277158625239635,0.059943076108996816,0.49212777042700323,0.4521500196125999,0.4970248005850972,0.5262610868021942,0.03611405703415813,0.3719786413484329,0.3389005976057014,0.38001518810058454,0.4129474633984041,0.05366283705453647,0.851988806612521,0.8073075019986988,0.8571135441462199,0.9045546602604393,0.07185894765394346,-0.7617840088458597,-0.8290677427117569,-0.7645995638988636,-0.6825191358654651,0.06355318689097678,SAN JORGE,44.61003875732422,44.61003875732422,44.61003875732422,44.61003875732422,0.0,425.68057107238565,425.68057107238565,425.68057107238565,425.68057107238565,0.0,,,,,,-0.5145002508356841,-0.5369932085373603,-0.5211182791779373,-0.506062021576605,0.10630931975798061,51,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.06783680622385904,-0.6770710635813062,-0.022847076137196172,0.5382126386411697,0.5108598890806841,"{""type"":""Polygon"",""coordinates"":[[[-53.178129999999996,-18.708691999999996],[-53.185641,-18.708692],[-53.184616000000005,-18.710485],[-53.183811000000006,-18.711948],[-53.183752,-18.712004],[-53.183715,-18.712004000000004],[-53.183339,-18.711796],[-53.18183199999999,-18.710887],[-53.178129999999996,-18.708691999999996]]]}"
2,146.87,,,,,,762.4839712894521,750.1546566307742,761.9084323790015,776.8366379051158,10.261362721327462,C3,0.37510265848777413,0.20897442703843244,0.4120418711613218,0.4706300090523577,0.10718568117748915,3,,,,,,0.347200891007256,0.24508264256538934,0.3563657822180697,0.4209487995163339,0.07196084737259716,-0.6634146783496244,-0.7518017792196476,-0.7167838377302866,-0.47483037673463135,0.12219765007128155,0.6664088736685124,0.5254863036406168,0.6855751195877422,0.7911124077282549,0.10704997205228721,0.8672208578868709,0.7400270853852532,0.9044342375634745,0.9277319228741825,0.08619470938918923,0.6824861725765781,0.5840735244034865,0.6894229598858309,0.7792159758126158,0.08458718950584738,0.20380617953724622,0.17091424735011487,0.18846366553859709,0.2627125048195759,0.043999766318932744,0.5145186710617675,0.34566355834999385,0.5448577834336151,0.619019558192222,0.10749400003389378,-0.5361210283934937,-0.5928502196748987,-0.5420524366743803,-0.4697214815449705,0.04925668854828848,SAN JORGE,44.61003875732422,44.61003875732422,44.61003875732422,44.61003875732422,1.4751853102323006E-5,425.68057107238565,425.68057107238565,425.68057107238565,425.68057107238565,2.2952068470219065E-4,,,,,,-0.4057446199879644,-0.44313672221084127,-0.4160586051206271,-0.34962757679273015,0.07170146216801296,23,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.012366930523216985,-0.617825675214039,-0.008023811123441704,0.6023805037788723,0.4847233357291279,"{""type"":""Polygon"",""coordinates"":[[[-53.173828,-18.710612000000005],[-53.174896,-18.708691999999996],[-53.178077,-18.708691999999996],[-53.18361300000001,-18.711989],[-53.183661,-18.712024999999997],[-53.183693,-18.712076],[-53.18368799999999,-18.712131],[-53.18365,-18.712203],[-53.18352200000001,-18.712401],[-53.18321,-18.712949],[-53.18291,-18.713544],[-53.182738,-18.713803],[-53.18119900000001,-18.716572000000003],[-53.180861,-18.717156],[-53.180732,-18.717329],[-53.180587,-18.717634],[-53.179954,-18.718731],[-53.179632,-18.719361000000003],[-53.179444999999994,-18.719620000000003],[-53.179396,-18.719778000000005],[-53.17849,-18.721388],[-53.17840400000001,-18.721516],[-53.178334,-18.721582],[-53.178297,-18.721693],[-53.178205,-18.721876],[-53.177744,-18.722694],[-53.17716999999999,-18.723771],[-53.17713800000001,-18.72379700000001],[-53.177079,-18.723802],[-53.176762,-18.723644],[-53.173828,-18.721886],[-53.173828,-18.710612000000005]]]}"
3,135.76,,,,,,762.4005733170375,759.5814208984375,762.2703857421875,766.1646728515625,2.6840117083605035,A4,0.3627351352300901,0.2586853073630252,0.36821461037571157,0.47118249264744466,0.09530667138474579,3,,,,,,0.2851548011151886,0.2553831975783975,0.28451909124851227,0.329484224319458,0.04253777569314001,-0.7348263533857111,-0.7726719181749192,-0.761038886588156,-0.6444974690675735,0.08751769686742303,0.5300867486187645,0.46106293797492987,0.5318924729193684,0.6204507946968079,0.07321844184090974,0.8825151706190758,0.7760294079780579,0.9150992618881437,0.9250062789141968,0.09785584848839164,0.709549811502115,0.5102147721320063,0.7569753258906712,0.7901208044515554,0.14691029479688744,0.14768881723336483,0.13069332648660534,0.15004335343837738,0.1577204465866089,0.012161075667087988,0.5084520078081587,0.41659941096005476,0.5165144205093384,0.6077392101287842,0.0970717006337788,-0.4937457826334817,-0.5252323746681213,-0.49485841393470764,-0.47105297446250916,0.0343354976834056,SAN JORGE,44.61003875732422,44.61003875732422,44.61003875732422,44.61003875732422,0.0,425.68057107238565,425.68057107238565,425.68057107238565,425.68057107238565,1.7232046587319333E-5,,,,,,-0.3868175037331468,-0.4392914871374766,-0.4082838939890037,-0.3487735986709595,0.14687117280880535,4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0040564993545216385,-0.572418212890625,1.8310546875E-4,0.584228515625,0.44398713084189684,"{""type"":""Polygon"",""coordinates"":[[[-53.174837,-18.708692],[-53.173828,-18.710506],[-53.173828,-18.708692],[-53.174837,-18.708692]]]}"
4,76.82,,,,,,756.9281103550484,750.6640265172394,756.6840209960938,763.4644419846026,5.167893932170794,D1,0.7379856458688996,0.51412734229366,0.7911369819269711,0.8337217698563774,0.1560560705843193,3,,,,,,0.5941909857574349,0.468035415350798,0.6122521081486264,0.6785189559062322,0.09090794629081476,-0.44534284120623024,-0.5296251245083348,-0.44730437248288357,-0.36922816111355816,0.08451215285371103,0.8963889360787035,0.7986388627643031,0.9279303278469376,0.9312741998894659,0.09852239792959851,0.8975777377091124,0.7797211436254363,0.9357061077050227,0.9390194938109474,0.11327681854927099,0.17234101259602908,0.1509048381330829,0.1657969204122105,0.196993698112414,0.06221910566979974,0.4522348965028815,0.3114746778450608,0.467653567369307,0.5459996673368639,0.09422715523946076,0.8173890439282289,0.6579114854481517,0.8577029851365624,0.8805721210141698,0.12566467670747852,-0.7443329485078973,-0.7881705363591512,-0.7607733046273869,-0.6512751703055536,0.06811522337777745,SAN JORGE,44.61003875732422,44.61003875732422,44.61003875732422,44.61003875732422,0.0,425.68057107238565,425.68057107238565,425.68057107238565,425.68057107238565,0.0,,,,,,-0.503326969776851,-0.5273629276669857,-0.5206463206433302,-0.45652238997015643,0.12622086133505359,41,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.32474824420249265,-1.524097454213951,-0.21932058634026436,0.6568306861388513,1.39226611027934,"{""type"":""Polygon"",""coordinates"":[[[-53.176939,-18.729375],[-53.176977,-18.729502000000004],[-53.173828,-18.729502000000004],[-53.173828,-18.721932],[-53.1768,-18.72372],[-53.177068,-18.723858],[-53.1771,-18.723898],[-53.177133,-18.724009999999996],[-53.1771,-18.724112000000005],[-53.176939,-18.724457],[-53.176838,-18.724721],[-53.175518,-18.728354000000003],[-53.175470000000004,-18.728532000000005],[-53.17548600000001,-18.728632999999995],[-53.175588,-18.728831000000003],[-53.175647,-18.728903],[-53.175754000000005,-18.728979],[-53.17585600000001,-18.729024],[-53.17606,-18.72908],[-53.176677,-18.729222999999998],[-53.176854,-18.729294],[-53.176939,-18.729375]]]}"
5,103.15,,,,,,728.976850401715,718.8978302903188,727.8773589201849,741.392879486084,8.442073262755189,F1,0.624315780166562,0.4198756435186942,0.6228777244737462,0.8379357155721713,0.1617519641882396,3,,,,,,0.481316832070898,0.30274736427188054,0.46305572836514897,0.6855710526055927,0.1363962739212704,-0.5985889837629006,-0.697374979493705,-0.5917728737563523,-0.5174341052024226,0.09219569843502211,0.6202245779867935,0.48249089627417363,0.5839173153489842,0.8533917187234997,0.13083086164719948,0.8966276407503662,0.8378720469473048,0.9199992945898388,0.9354335262567562,0.0758941434559728,0.6124773365167957,0.48622173799779805,0.6190709956433819,0.732224191309624,0.09839008092183972,0.29803865698746623,0.216911642672211,0.3145112070375375,0.36924787061603015,0.05999271790443023,0.6769546821455926,0.5412807700142376,0.6506202460504046,0.8573609310753492,0.12541923150432935,-0.6195814871503345,-0.7822887204233224,-0.5870693330916007,-0.5147456378086408,0.10222895284953791,SAN JORGE,44.69235520814273,44.61003875732422,44.61003875732422,44.61003875732422,0.6161513838820826,425.76357297542995,425.68057107238565,425.68057107238565,425.68057107238565,0.6212821769348753,,,,,,-0.45926762634583274,-0.5195642235157676,-0.456989342506672,-0.4184431273745071,0.08934882271943424,51,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.04285364313864532,-0.4924368458518072,-0.038762149188141505,0.4139291863692434,0.3704894929611437,"{""type"":""Polygon"",""coordinates"":[[[-53.17894,-18.698763],[-53.179026,-18.698768],[-53.179241000000005,-18.698930999999998],[-53.180142000000004,-18.699505],[-53.18144600000001,-18.700369],[-53.18327,-18.701517000000003],[-53.18534600000001,-18.702879000000003],[-53.186375,-18.703524],[-53.187352,-18.704168999999997],[-53.18769,-18.704357],[-53.18776,-18.704423999999996],[-53.187808,-18.704566000000003],[-53.187792,-18.704673000000003],[-53.187561,-18.705231],[-53.18732,-18.705648],[-53.187148,-18.70598899999999],[-53.18693300000001,-18.706334],[-53.186708,-18.706781],[-53.18646100000001,-18.707182999999997],[-53.185641,-18.708692],[-53.178129999999996,-18.708691999999996],[-53.175738,-18.707273999999998],[-53.17572700000001,-18.707127],[-53.175695,-18.707056],[-53.17570599999999,-18.706989],[-53.178886999999996,-18.698849],[-53.17891899999999,-18.698778],[-53.17894,-18.698763]]]}"
6,146.87,,,,,,751.7538060392449,749.1599731445312,751.2626342773438,755.4298706054688,2.325391217191675,C3,0.41150656072370967,0.21229623654108656,0.4041147736829474,0.6229359098256464,0.15118076476399667,3,,,,,,0.34190118277604375,0.23665574093848582,0.3379387433238153,0.46682140168672553,0.09605166335883636,-0.6840848850033001,-0.7372400981420277,-0.7081669867038727,-0.5672867218394556,0.0796369015216018,0.5349043128663592,0.4948322151768481,0.5326427647045681,0.5845189690589905,0.06453189840453522,0.8784105190264143,0.7591704032991242,0.916834869368389,0.9233576208811033,0.0836352847806385,0.5745319095328408,0.47491568707303095,0.58676121272811,0.6405281595257344,0.07511450743317058,0.19432563402311426,0.17630770057439804,0.19286653079773083,0.21816494449591026,0.026565150115375403,0.5289330192791049,0.33749067038297653,0.5254559028757055,0.7282195289929708,0.1407786779586224,-0.5382973949994747,-0.6102000673611959,-0.5302828930402975,-0.4718943891033929,0.06513676530486426,SAN JORGE,44.61003875732422,44.61003875732422,44.61003875732422,44.61003875732422,0.0,425.68057107238565,425.68057107238565,425.68057107238565,425.68057107238565,2.09967320603571E-5,,,,,,-0.39973758187553066,-0.4790939303005443,-0.408225215769479,-0.3452940125814435,0.10064491321062229,23,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.00717495707342825,-0.6015303865186432,0.008166907971744337,0.569580078125,0.42620189176582485,"{""type"":""Polygon"",""coordinates"":[[[-53.17566800000001,-18.707329999999995],[-53.175743,-18.707325000000004],[-53.175936,-18.707426000000005],[-53.178077,-18.708691999999996],[-53.174896,-18.708691999999996],[-53.175513,-18.707552999999997],[-53.17562,-18.707371],[-53.17566800000001,-18.707329999999995]]]}"
7,89.58,,,,,,725.1934833450272,713.6352627799183,722.9321674547697,740.9218068343033,10.2447506773021,E3,0.45111859301394014,0.2986147533395856,0.41608028973666306,0.6498724044730961,0.13492681142086688,3,,,,,,0.3459611307097868,0.28598586618801886,0.3271774562921747,0.4366237441440681,0.06125041681559971,-0.6648208554160422,-0.748093703419093,-0.6779109443824285,-0.5838995194702192,0.0934005401248996,0.5505850149144683,0.4316051673710848,0.5411755606177774,0.6938412846075243,0.10074184425685548,0.9107050916506678,0.8965482624372921,0.9240228495345009,0.9314099293703516,0.06773121497402047,0.6262640468719123,0.5213790197573726,0.6388292430059654,0.7246708276717257,0.09082796516234763,0.24588423623462619,0.17768730650142842,0.23256155540356058,0.32225572430025834,0.05910323513217767,0.5401692753778542,0.4509520160566703,0.5448809130298781,0.6188334128325202,0.07109891839983114,-0.519577083518656,-0.5496198068737146,-0.5166343661881898,-0.4872324811407305,0.030654007173661808,SAN JORGE,46.29641757545336,44.61003875732422,44.61003875732422,48.86197280883789,2.0813169716847453,427.3809924328507,425.68057107238565,425.68057107238565,429.96791114500957,2.09864818705958,,,,,,-0.41394444491202764,-0.4432865265069873,-0.4199391982090638,-0.3807014030277215,0.07648040549080137,33,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.06731660256672388,-0.5551069183222535,-0.07086290405695828,0.42889805400039155,0.40408608999444756,"{""type"":""Polygon"",""coordinates"":[[[-53.175121,-18.706816999999997],[-53.173828,-18.706004],[-53.173828,-18.695435],[-53.17548,-18.696487000000005],[-53.175786,-18.6967],[-53.177497,-18.697813],[-53.178812,-18.698641],[-53.178892000000005,-18.698722],[-53.178881,-18.698814000000002],[-53.177143,-18.703199],[-53.176897000000004,-18.703865],[-53.175711,-18.706888],[-53.175641000000006,-18.707],[-53.175549999999994,-18.707070999999996],[-53.175507,-18.707081],[-53.175121,-18.706816999999997]]]}"
8,135.76,,,,,,753.4404001472811,749.4985351562501,753.3181762695312,757.5595092773438,3.154712962211528,A4,0.2113668407864024,0.1633970132211574,0.18867156244014693,0.283649530243404,0.06656290395127613,3,,,,,,0.23302721628010903,0.20404616991678873,0.22765427827835083,0.26472010748236585,0.0335658794311157,-0.7424403653251873,-0.7724506143282919,-0.7588940335538614,-0.6789755854810309,0.0747122271534529,0.40301844933989767,0.3464373250802358,0.3798220955283089,0.49534780979156495,0.06601758192653742,0.9047905111619251,0.8786882758140564,0.9189312241215042,0.9248851976356331,0.07162693942518375,0.7335191076449088,0.6553931963327134,0.7561984761241931,0.79462435706998,0.11326840555798474,0.16235014583673776,0.1487913108375815,0.15867631526097006,0.17154857888817787,0.02253877130691138,0.36616669458076545,0.3096163300818655,0.3465217053890228,0.44149861733118695,0.06617987678469239,-0.4645957130507539,-0.4871256899043739,-0.4672663039014936,-0.4342137034129533,0.02580775028308506,SAN JORGE,44.61003875732422,44.61003875732422,44.61003875732422,44.61003875732422,0.0,425.68057107238565,425.68057107238565,425.68057107238565,425.68057107238565,1.850825301706307E-5,,,,,,-0.3495807021770327,-0.38448433754087463,-0.34938953146338464,-0.3383460362166399,0.10120500958045577,4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.014361060104848049,-0.5686939529090029,0.020578792098748133,0.6058586639108009,0.44911947193791535,"{""type"":""Polygon"",""coordinates"":[[[-53.175486,-18.707508],[-53.174837,-18.708692],[-53.173828,-18.708692],[-53.173828,-18.706044],[-53.17529300000001,-18.706968999999997],[-53.175437,-18.707101],[-53.175496,-18.707203],[-53.175523,-18.70736],[-53.175486,-18.707508]]]}"
9,168.27,,,,,,733.372497429766,723.4016571044922,733.1718546549479,744.044921875,7.597335139194086,B3,0.5355294190622981,0.35341110041215795,0.5682906913824121,0.6423919356915508,0.13074801004413913,3,,,,,,0.3732777134571595,0.282456016179223,0.37008164417433714,0.48516483306884767,0.07602286962530967,-0.637145452904168,-0.7127615841552969,-0.6816393944004077,-0.4588847597049748,0.123769583583132,0.8442846140377714,0.7725220465324295,0.864245507634051,0.8816241897069491,0.058384478963111275,0.890465182398645,0.7329918748427738,0.9317099784162944,0.9389218334993259,0.10940712860080788,0.1780583387073076,0.14946879889672016,0.17866239035442802,0.20409248362634297,0.031347744648097337,0.2533197294944764,0.20593445805278618,0.23925208253635316,0.2742842803068257,0.0687302482641169,0.6702685768779542,0.47492469540019067,0.7168089209586025,0.779444362974358,0.1313675206593258,-0.5891818837438431,-0.6609947431469023,-0.5986493064198378,-0.5126940991005678,0.06637510580069293,SAN JORGE,33.11086654663086,33.11086654663086,33.11086654663086,33.11086654663086,1.1970485456285889E-5,420.06426875741454,420.06426875741454,420.06426875741454,420.06426875741454,1.9200126064935263E-4,,,,,,-0.4530670637507019,-0.49403411930495555,-0.47076141758247114,-0.38904671743911606,0.08820109839924067,13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.02707518268303544,-0.5245824839708375,-0.00841022553259928,0.4454106247611108,0.3856162925107547,"{""type"":""Polygon"",""coordinates"":[[[-53.15470400000001,-18.754389000000003],[-53.153862000000004,-18.750310000000002],[-53.16270200000001,-18.750310000000002],[-53.163335,-18.753576],[-53.163711,-18.7554],[-53.16371600000001,-18.755542],[-53.163668,-18.755603],[-53.163593,-18.755628],[-53.163275999999996,-18.755613],[-53.1623,-18.755628],[-53.155096,-18.755516000000004],[-53.155026,-18.755505999999997],[-53.154967,-18.755471],[-53.154924,-18.755389],[-53.15470400000001,-18.754389000000003]]]}"
