desc_parada;tempo_segundos;tempo_horas;percentual_tempo;qtd_registros
*NAO_DEFINIDO*;2421499;672.64;43.51;243938
FIM DE EXPEDIENTE;882636;245.18;15.86;7441
CLIMA  -SECO-UMIDO-CHUVA VENTO-ORVALHO;534201;148.39;9.60;2022
FALTA CAMINHAO;337834;93.84;6.07;2209
CONSTRUCAO DE GALPAO;241681;67.13;4.34;2016
AGUARD ORDENS;210319;58.42;3.78;834
REGULAGEM PARA OPERACAO;177859;49.41;3.20;1849
MANUTENCAO BASICA;156495;43.47;2.81;1023
REFEICAO;155240;43.12;2.79;585
LAVAGEM- LIMPEZA;146838;40.79;2.64;553
DESCARREGAMENTO DE GRAOS;70293;19.53;1.26;641
AGUARD  MANUTENCAO;61600;17.11;1.11;380
SERV C EQUIP PARADO;44593;12.39;0.80;555
INDISPONIBILIDADE OFICINA;34910;9.70;0.63;101
SEM APONTAMENTO;28082;7.80;0.50;491
ABASTECIMENTO-LUBRIFICACAO;14587;4.05;0.26;156
AGUARDANDO COMBOIO;11382;3.16;0.20;43
CONST DE CARREADORES;10246;2.85;0.18;59
BANHEIRO;9551;2.65;0.17;111
CHECK LIST DA MAQUINA-EQUIPAMENTO;6211;1.73;0.11;9
ATUALIZACAO SOLINFTEC;5277;1.47;0.09;87
EMBUCHAMENTO;3586;1.00;0.06;81
TREINAMENTO;824;0.23;0.01;6
ATOLADO- PUXAR EQP- ATOLADO;11;0.00;0.00;1
