cd_equipamento;classe_decliv;horas;litros;l_h
5001;0-3%;49.096666666666664;2430.5053583333333;49.504488254463986
5001;3-8%;19.775833333333335;985.2866972222222;49.822765019032765
5016;0-3%;83.93083333333334;3572.4972944444444;42.564778074538886
5016;3-8%;33.9525;1445.1642333333334;42.564295216356186
5045;0-3%;101.01555555555555;4311.553513888889;42.68207495545241
5045;3-8%;44.30222222222222;1944.0059194444445;43.88055095054174
5518;0-3%;85.42083333333333;2371.2144305555557;27.759205079427023
5518;3-8%;31.0425;857.8633916666666;27.635125768435746
5526;0-3%;100.03583333333333;3546.6657472222223;35.453953139014075
5526;3-8%;36.335277777777776;1270.3295416666667;34.961327375446274
